ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,0,0,9,211,104,216,2016/8/6|23:04:17.747
0,0,0,0,0,9,211,104,215,2016/8/6|23:04:17.784
0,0,0,0,0,9,208,104,214,2016/8/6|23:04:17.784
0,0,0,0,0,9,217,417,220,2016/8/6|23:04:17.802
0,0,0,0,0,9,223,0,226,2016/8/6|23:04:17.809
0,0,0,0,0,9,209,0,222,2016/8/6|23:04:17.849
0,0,0,0,0,9,196,0,218,2016/8/6|23:04:17.849
0,0,0,0,0,9,187,104,217,2016/8/6|23:04:17.850
0,0,0,0,0,9,184,104,216,2016/8/6|23:04:17.866
0,0,0,0,0,8,193,312,219,2016/8/6|23:04:17.866
0,0,0,0,0,8,190,209,222,2016/8/6|23:04:17.887
0,0,0,0,0,8,177,209,223,2016/8/6|23:04:17.907
0,0,0,0,0,8,178,209,224,2016/8/6|23:04:17.914
0,0,0,0,0,8,183,104,223,2016/8/6|23:04:17.929
0,0,0,0,0,8,184,104,221,2016/8/6|23:04:17.952
0,0,0,0,0,8,197,417,227,2016/8/6|23:04:17.966
0,0,0,0,0,8,208,0,232,2016/8/6|23:04:17.975
0,0,0,0,0,8,199,0,228,2016/8/6|23:04:17.991
0,0,0,0,0,8,190,0,224,2016/8/6|23:04:18.21
0,0,0,0,0,8,181,0,221,2016/8/6|23:04:18.22
0,0,0,0,0,7,169,0,216,2016/8/6|23:04:18.42
0,0,0,0,0,7,160,104,215,2016/8/6|23:04:18.47
0,0,0,0,0,6,157,312,213,2016/8/6|23:04:18.72
0,0,0,0,0,4,166,312,216,2016/8/6|23:04:18.82
0,0,0,0,0,2,175,312,218,2016/8/6|23:04:18.87
0,0,0,0,0,1,171,0,214,2016/8/6|23:04:18.104
0,0,0,0,0,0,157,0,210,2016/8/6|23:04:18.122
0,0,0,0,0,0,166,625,220,2016/8/6|23:04:18.150
0,0,0,0,0,0,187,0,230,2016/8/6|23:04:18.153
0,0,0,0,0,0,187,0,225,2016/8/6|23:04:18.174
0,0,0,0,0,2,184,0,221,2016/8/6|23:04:18.192
0,0,0,0,0,3,180,0,217,2016/8/6|23:04:18.208
0,0,0,0,0,3,169,0,213,2016/8/6|23:04:18.217
0,0,0,0,0,2,160,104,211,2016/8/6|23:04:18.254
0,0,0,0,0,1,154,521,208,2016/8/6|23:04:18.267
0,0,0,0,0,0,168,521,216,2016/8/6|23:04:18.273
0,0,0,0,0,0,184,521,223,2016/8/6|23:04:18.306
0,0,0,0,0,0,188,209,223,2016/8/6|23:04:18.306
0,0,0,0,0,0,184,209,224,2016/8/6|23:04:18.319
0,0,0,0,0,0,180,312,226,2016/8/6|23:04:18.323
0,0,0,0,0,0,187,312,229,2016/8/6|23:04:18.348
0,0,0,0,0,0,200,312,232,2016/8/6|23:04:18.348
0,0,0,0,0,2,214,312,234,2016/8/6|23:04:18.363
0,0,0,0,0,3,218,104,232,2016/8/6|23:04:18.387
0,0,0,0,0,4,220,104,230,2016/8/6|23:04:18.402
0,0,0,0,0,4,224,209,231,2016/8/6|23:04:18.407
0,0,0,0,0,5,223,312,231,2016/8/6|23:04:18.424
0,0,0,0,0,5,223,312,233,2016/8/6|23:04:18.464
0,0,0,0,0,5,232,312,236,2016/8/6|23:04:18.464
0,0,0,0,0,5,249,417,241,2016/8/6|23:04:18.466
0,0,0,0,0,5,249,417,246,2016/8/6|23:04:18.482
0,0,0,0,0,5,232,209,246,2016/8/6|23:04:18.501
0,0,0,0,0,6,232,104,246,2016/8/6|23:04:18.534
0,0,0,0,0,6,236,104,244,2016/8/6|23:04:18.535
0,0,0,0,0,7,241,104,242,2016/8/6|23:04:18.554
0,0,0,0,0,7,258,417,247,2016/8/6|23:04:18.559
0,0,0,0,0,6,273,417,252,2016/8/6|23:04:18.574
0,0,0,0,0,6,273,104,250,2016/8/6|23:04:18.583
0,0,0,0,0,7,261,312,248,2016/8/6|23:04:18.599
0,0,0,0,0,7,253,312,250,2016/8/6|23:04:18.633
0,0,0,0,0,7,252,312,252,2016/8/6|23:04:18.652
0,0,0,0,0,7,248,104,250,2016/8/6|23:04:18.652
0,0,0,0,0,6,241,104,248,2016/8/6|23:04:18.672
0,0,0,0,0,6,241,312,250,2016/8/6|23:04:18.703
0,0,0,0,0,6,241,-208,253,2016/8/6|23:04:18.720
0,0,0,0,0,6,218,-208,243,2016/8/6|23:04:18.721
0,0,0,0,0,6,202,-208,234,2016/8/6|23:04:18.734
0,0,0,0,0,4,211,312,236,2016/8/6|23:04:18.766
0,0,0,0,0,2,217,312,238,2016/8/6|23:04:18.767
0,0,0,0,0,1,199,-208,228,2016/8/6|23:04:18.783
0,0,0,0,0,0,178,104,218,2016/8/6|23:04:18.798
0,0,0,0,0,0,169,104,216,2016/8/6|23:04:18.804
0,0,0,0,0,0,157,104,213,2016/8/6|23:04:18.817
0,0,0,0,0,0,153,312,215,2016/8/6|23:04:18.832
0,0,0,0,0,0,154,312,216,2016/8/6|23:04:18.858
0,0,0,0,0,0,145,0,211,2016/8/6|23:04:18.859
0,0,0,0,0,0,139,312,206,2016/8/6|23:04:18.874
0,0,0,0,0,0,148,312,208,2016/8/6|23:04:18.889
0,0,0,0,0,0,148,312,210,2016/8/6|23:04:18.919
0,0,0,0,0,0,130,0,205,2016/8/6|23:04:18.932
0,0,0,0,0,0,121,0,199,2016/8/6|23:04:18.939
0,0,0,0,0,0,117,0,194,2016/8/6|23:04:18.945
0,0,0,0,0,0,106,209,189,2016/8/6|23:04:18.979
0,0,0,0,0,-1,102,209,188,2016/8/6|23:04:18.979
0,0,0,0,0,-3,104,209,188,2016/8/6|23:04:18.993
0,0,0,0,0,-4,117,417,192,2016/8/6|23:04:19.5
0,0,0,0,0,-5,124,417,196,2016/8/6|23:04:19.22
0,0,0,0,0,-5,124,312,198,2016/8/6|23:04:19.33
0,0,0,0,0,-4,139,209,200,2016/8/6|23:04:19.54
0,0,0,0,0,-2,157,209,200,2016/8/6|23:04:19.69
0,0,0,0,0,-1,160,209,199,2016/8/6|23:04:19.80
0,0,0,0,0,-1,160,312,202,2016/8/6|23:04:19.96
0,0,0,0,0,0,175,312,204,2016/8/6|23:04:19.120
0,0,0,0,0,0,193,209,203,2016/8/6|23:04:19.144
0,0,0,0,0,0,202,209,203,2016/8/6|23:04:19.144
0,0,0,0,0,0,206,209,203,2016/8/6|23:04:19.180
0,0,0,0,0,0,205,209,203,2016/8/6|23:04:19.193
0,0,0,0,0,0,209,417,208,2016/8/6|23:04:19.193
0,0,0,0,0,0,223,417,212,2016/8/6|23:04:19.209
0,0,0,0,0,0,227,104,210,2016/8/6|23:04:19.231
0,0,0,0,0,0,223,-103,207,2016/8/6|23:04:19.248
0,0,0,0,0,0,205,-103,200,2016/8/6|23:04:19.281
0,0,0,0,0,0,196,-103,193,2016/8/6|23:04:19.281
0,0,0,0,0,0,205,209,193,2016/8/6|23:04:19.298
0,0,0,0,0,0,214,209,193,2016/8/6|23:04:19.298
0,0,0,0,0,0,232,417,198,2016/8/6|23:04:19.309
0,0,0,0,0,0,244,312,202,2016/8/6|23:04:19.342
0,0,0,0,0,0,248,312,204,2016/8/6|23:04:19.342
0,0,0,0,0,0,247,312,207,2016/8/6|23:04:19.355
0,0,0,0,0,0,247,417,211,2016/8/6|23:04:19.371
0,0,0,0,0,0,250,417,216,2016/8/6|23:04:19.400
0,0,0,0,0,0,245,209,216,2016/8/6|23:04:19.400
0,0,0,0,0,0,244,312,217,2016/8/6|23:04:19.416
0,0,0,0,0,0,248,312,219,2016/8/6|23:04:19.433
0,0,0,0,0,0,250,312,222,2016/8/6|23:04:19.441
0,0,0,0,0,0,245,209,222,2016/8/6|23:04:19.457
0,0,0,0,0,0,244,209,222,2016/8/6|23:04:19.488
0,0,0,0,0,0,253,417,227,2016/8/6|23:04:19.489
0,0,0,0,0,0,262,312,232,2016/8/6|23:04:19.506
0,0,0,0,0,0,266,312,235,2016/8/6|23:04:19.517
0,0,0,0,0,2,265,312,237,2016/8/6|23:04:19.543
0,0,0,0,0,3,256,209,238,2016/8/6|23:04:19.543
0,0,0,0,0,4,256,209,238,2016/8/6|23:04:19.563
0,0,0,0,0,5,256,104,236,2016/8/6|23:04:19.574
0,0,0,0,0,5,262,104,234,2016/8/6|23:04:19.596
0,0,0,0,0,5,271,104,232,2016/8/6|23:04:19.618
0,0,0,0,0,5,270,104,229,2016/8/6|23:04:19.635
0,0,0,0,0,3,270,209,230,2016/8/6|23:04:19.648
0,0,0,0,0,2,265,209,230,2016/8/6|23:04:19.657
0,0,0,0,0,1,251,104,228,2016/8/6|23:04:19.700
0,0,0,0,0,0,241,209,225,2016/8/6|23:04:19.700
0,0,0,0,0,0,236,209,225,2016/8/6|23:04:19.715
0,0,0,0,0,0,229,209,225,2016/8/6|23:04:19.726
0,0,0,0,0,0,224,312,228,2016/8/6|23:04:19.759
0,0,0,0,0,0,226,312,230,2016/8/6|23:04:19.759
0,0,0,0,0,0,221,104,228,2016/8/6|23:04:19.773
0,0,0,0,0,0,214,417,225,2016/8/6|23:04:19.780
0,0,0,0,0,0,218,417,230,2016/8/6|23:04:19.786
0,0,0,0,0,0,226,417,235,2016/8/6|23:04:19.818
0,0,0,0,0,0,226,209,235,2016/8/6|23:04:19.831
0,0,0,0,0,0,220,209,235,2016/8/6|23:04:19.838
0,0,0,0,0,0,215,312,237,2016/8/6|23:04:19.848
0,0,0,0,0,0,214,104,240,2016/8/6|23:04:19.864
0,0,0,0,0,0,205,104,237,2016/8/6|23:04:19.904
0,0,0,0,0,0,199,104,235,2016/8/6|23:04:19.905
0,0,0,0,0,0,203,312,237,2016/8/6|23:04:19.921
0,0,0,0,0,0,211,312,240,2016/8/6|23:04:19.926
0,0,0,0,0,0,215,209,239,2016/8/6|23:04:19.936
0,0,0,0,0,0,220,209,239,2016/8/6|23:04:19.961
0,0,0,0,0,0,224,209,239,2016/8/6|23:04:19.984
0,0,0,0,0,0,226,209,239,2016/8/6|23:04:19.990
0,0,0,0,0,0,217,0,235,2016/8/6|23:04:19.996
0,0,0,0,0,0,211,0,230,2016/8/6|23:04:20.22
0,0,0,0,0,0,211,104,227,2016/8/6|23:04:20.22
0,0,0,0,0,0,208,104,225,2016/8/6|23:04:20.39
0,0,0,0,0,0,203,104,222,2016/8/6|23:04:20.58
0,0,0,0,0,0,196,104,219,2016/8/6|23:04:20.70
0,0,0,0,0,0,200,417,224,2016/8/6|23:04:20.85
0,0,0,0,0,0,211,417,228,2016/8/6|23:04:20.111
0,0,0,0,0,0,220,312,230,2016/8/6|23:04:20.130
0,0,0,0,0,0,220,521,232,2016/8/6|23:04:20.161
0,0,0,0,0,0,224,521,239,2016/8/6|23:04:20.161
0,0,0,0,0,0,235,521,246,2016/8/6|23:04:20.184
0,0,0,0,0,0,230,104,244,2016/8/6|23:04:20.191
0,0,0,0,0,0,223,104,241,2016/8/6|23:04:20.206
0,0,0,0,0,0,227,417,246,2016/8/6|23:04:20.226
0,0,0,0,0,0,238,312,250,2016/8/6|23:04:20.244
0,0,0,0,0,0,247,312,252,2016/8/6|23:04:20.252
0,0,0,0,0,2,250,312,255,2016/8/6|23:04:20.257
0,0,0,0,0,3,250,312,257,2016/8/6|23:04:20.272
0,0,0,0,0,4,252,312,259,2016/8/6|23:04:20.290
0,0,0,0,0,5,252,209,259,2016/8/6|23:04:20.308
0,0,0,0,0,6,252,-103,259,2016/8/6|23:04:20.314
0,0,0,0,0,6,239,-103,252,2016/8/6|23:04:20.329
0,0,0,0,0,6,232,-103,245,2016/8/6|23:04:20.344
0,0,0,0,0,6,241,209,245,2016/8/6|23:04:20.359
0,0,0,0,0,3,247,209,244,2016/8/6|23:04:20.372
0,0,0,0,0,2,251,209,244,2016/8/6|23:04:20.396
0,0,0,0,0,1,256,521,244,2016/8/6|23:04:20.404
0,0,0,0,0,0,274,521,250,2016/8/6|23:04:20.417
0,0,0,0,0,0,282,521,257,2016/8/6|23:04:20.440
0,0,0,0,0,0,287,521,264,2016/8/6|23:04:20.449
0,0,0,0,0,1,294,521,270,2016/8/6|23:04:20.465
0,0,0,0,0,3,281,0,266,2016/8/6|23:04:20.475
0,0,0,0,0,4,262,312,261,2016/8/6|23:04:20.487
0,0,0,0,0,5,253,312,263,2016/8/6|23:04:20.506
0,0,0,0,0,5,256,312,265,2016/8/6|23:04:20.523
0,0,0,0,0,5,265,312,267,2016/8/6|23:04:20.532
0,0,0,0,0,5,265,312,268,2016/8/6|23:04:20.568
0,0,0,0,0,6,256,209,268,2016/8/6|23:04:20.577
0,0,0,0,0,6,250,417,268,2016/8/6|23:04:20.579
0,0,0,0,0,6,254,417,272,2016/8/6|23:04:20.607
0,0,0,0,0,6,259,417,276,2016/8/6|23:04:20.623
0,0,0,0,0,6,254,209,276,2016/8/6|23:04:20.640
0,0,0,0,0,6,253,209,276,2016/8/6|23:04:20.657
0,0,0,0,0,7,253,209,275,2016/8/6|23:04:20.671
0,0,0,0,0,7,262,104,275,2016/8/6|23:04:20.690
0,0,0,0,0,7,271,104,272,2016/8/6|23:04:20.695
0,0,0,0,0,6,271,104,269,2016/8/6|23:04:20.729
0,0,0,0,0,6,279,417,273,2016/8/6|23:04:20.730
0,0,0,0,0,6,288,417,277,2016/8/6|23:04:20.730
0,0,0,0,0,6,293,312,279,2016/8/6|23:04:20.750
0,0,0,0,0,6,288,417,281,2016/8/6|23:04:20.768
0,0,0,0,0,6,284,417,285,2016/8/6|23:04:20.777
0,0,0,0,0,6,279,417,289,2016/8/6|23:04:20.795
0,0,0,5,0,7,275,417,293,2016/8/6|23:04:20.817
0,0,0,5,0,7,285,417,297,2016/8/6|23:04:20.822
0,0,0,5,0,8,299,312,299,2016/8/6|23:04:20.839
0,0,0,5,0,8,303,209,301,2016/8/6|23:04:20.860
0,0,0,5,0,8,299,209,300,2016/8/6|23:04:20.871
0,0,0,5,0,9,294,209,300,2016/8/6|23:04:20.881
0,0,0,5,0,9,294,312,301,2016/8/6|23:04:20.896
0,0,0,5,0,9,297,312,303,2016/8/6|23:04:20.912
0,0,0,5,0,9,288,0,298,2016/8/6|23:04:20.927
0,0,0,5,0,9,273,417,292,2016/8/6|23:04:20.944
0,0,0,5,0,9,273,417,296,2016/8/6|23:04:20.961
0,0,0,5,0,8,279,417,300,2016/8/6|23:04:20.967
0,0,0,5,0,8,270,0,294,2016/8/6|23:04:20.986
0,0,0,5,0,7,261,0,289,2016/8/6|23:04:21.3
0,0,0,0,0,7,257,104,285,2016/8/6|23:04:21.12
0,0,0,0,0,6,255,104,282,2016/8/6|23:04:21.35
0,0,0,0,0,4,255,104,278,2016/8/6|23:04:21.55
0,0,0,0,0,2,247,104,275,2016/8/6|23:04:21.76
0,0,0,0,0,1,233,104,271,2016/8/6|23:04:21.93
0,0,0,0,0,0,223,104,268,2016/8/6|23:04:21.106
0,0,0,0,0,0,209,0,262,2016/8/6|23:04:21.115
0,0,0,0,0,0,193,104,255,2016/8/6|23:04:21.137
0,0,0,0,0,0,180,104,252,2016/8/6|23:04:21.145
0,0,0,0,0,0,166,104,248,2016/8/6|23:04:21.164
0,0,0,0,0,0,162,312,249,2016/8/6|23:04:21.194
0,0,0,0,0,0,160,312,249,2016/8/6|23:04:21.195
0,0,0,0,0,0,151,104,246,2016/8/6|23:04:21.200
0,0,0,0,0,0,145,312,242,2016/8/6|23:04:21.216
0,0,0,0,0,0,150,312,243,2016/8/6|23:04:21.234
0,0,0,0,0,0,151,312,244,2016/8/6|23:04:21.245
0,0,0,0,0,0,147,209,242,2016/8/6|23:04:21.260
0,0,0,0,0,0,151,209,241,2016/8/6|23:04:21.277
0,0,0,0,0,0,156,104,237,2016/8/6|23:04:21.289
0,0,0,0,0,0,148,417,233,2016/8/6|23:04:21.305
0,0,0,0,0,-1,148,417,236,2016/8/6|23:04:21.321
0,0,0,0,0,-3,160,417,240,2016/8/6|23:04:21.330
0,0,0,0,0,-3,173,312,241,2016/8/6|23:04:21.355
0,0,0,0,0,-2,184,312,242,2016/8/6|23:04:21.365
0,0,0,0,0,-1,188,209,240,2016/8/6|23:04:21.377
0,0,0,0,0,0,193,0,239,2016/8/6|23:04:21.403
0,0,0,0,0,0,188,0,233,2016/8/6|23:04:21.409
0,0,0,0,0,0,184,0,227,2016/8/6|23:04:21.421
0,0,0,0,0,0,180,0,221,2016/8/6|23:04:21.437
0,0,0,0,0,-2,178,0,215,2016/8/6|23:04:21.454
0,0,0,0,0,-4,191,312,216,2016/8/6|23:04:21.465
0,0,0,0,0,-5,202,104,217,2016/8/6|23:04:21.484
0,0,0,0,0,-6,202,104,213,2016/8/6|23:04:21.521
0,0,0,0,0,-7,196,104,210,2016/8/6|23:04:21.526
0,0,0,0,0,-7,191,209,208,2016/8/6|23:04:21.539
0,0,0,0,0,-7,193,209,207,2016/8/6|23:04:21.548
0,0,0,0,0,-8,189,0,201,2016/8/6|23:04:21.570
0,0,0,0,0,-8,178,417,195,2016/8/6|23:04:21.603
0,0,0,0,0,-8,183,417,199,2016/8/6|23:04:21.603
0,0,0,0,0,-9,190,417,202,2016/8/6|23:04:21.615
0,0,0,0,0,-9,194,312,203,2016/8/6|23:04:21.633
0,0,0,0,0,-9,202,312,204,2016/8/6|23:04:21.651
0,0,0,0,0,-8,197,0,199,2016/8/6|23:04:21.657
0,0,0,0,0,-8,184,209,193,2016/8/6|23:04:21.702
0,0,0,0,0,-8,175,209,192,2016/8/6|23:04:21.702
0,0,0,0,0,-8,169,209,191,2016/8/6|23:04:21.702
0,0,0,0,0,-9,160,104,187,2016/8/6|23:04:21.719
0,0,0,0,0,-9,154,104,184,2016/8/6|23:04:21.729
0,0,0,0,0,-9,136,-208,174,2016/8/6|23:04:21.738
0,0,0,0,0,-9,125,104,163,2016/8/6|23:04:21.755
0,0,0,0,0,-10,129,104,160,2016/8/6|23:04:21.768
0,0,0,0,0,-10,133,104,156,2016/8/6|23:04:21.783
0,0,0,0,0,-11,142,209,155,2016/8/6|23:04:21.799
0,0,0,0,0,-12,142,209,154,2016/8/6|23:04:21.814
0,0,0,0,0,-12,134,104,151,2016/8/6|23:04:21.826
0,0,0,0,0,-13,131,104,147,2016/8/6|23:04:21.841
0,0,0,0,0,-13,131,104,144,2016/8/6|23:04:21.858
0,0,0,0,0,-13,128,104,141,2016/8/6|23:04:21.870
0,0,0,0,0,-13,123,104,138,2016/8/6|23:04:21.888
0,0,0,0,0,-14,125,104,135,2016/8/6|23:04:21.903
0,0,0,0,0,-14,125,0,129,2016/8/6|23:04:21.913
0,0,0,0,0,-14,113,209,124,2016/8/6|23:04:21.931
0,0,0,0,0,-15,104,209,123,2016/8/6|23:04:21.951
0,0,0,0,0,-15,98,209,122,2016/8/6|23:04:21.958
0,0,0,0,0,-15,102,417,126,2016/8/6|23:04:21.974
0,0,0,0,0,-16,116,417,131,2016/8/6|23:04:22.1
0,0,0,0,0,-16,129,312,132,2016/8/6|23:04:22.26
0,0,0,0,0,-15,136,417,135,2016/8/6|23:04:22.37
0,0,0,0,0,-15,145,417,139,2016/8/6|23:04:22.44
0,0,0,0,0,-14,157,417,144,2016/8/6|23:04:22.66
0,0,0,0,0,-14,171,417,148,2016/8/6|23:04:22.84
0,0,0,0,0,-12,193,417,153,2016/8/6|23:04:22.93
0,0,0,0,0,-11,220,417,158,2016/8/6|23:04:22.108
0,0,0,0,0,-9,238,209,163,2016/8/6|23:04:22.133
0,0,0,0,0,-8,242,209,163,2016/8/6|23:04:22.143
0,0,0,0,0,-4,244,209,164,2016/8/6|23:04:22.158
0,0,0,0,0,-3,248,312,166,2016/8/6|23:04:22.169
0,0,0,0,0,-1,256,312,169,2016/8/6|23:04:22.172
0,0,0,0,0,-1,242,-208,161,2016/8/6|23:04:22.186
0,0,0,0,0,0,229,209,152,2016/8/6|23:04:22.205
0,0,0,0,0,0,233,209,152,2016/8/6|23:04:22.216
0,0,0,0,0,-2,238,209,152,2016/8/6|23:04:22.241
0,0,0,0,0,-3,251,417,158,2016/8/6|23:04:22.255
0,0,0,0,0,-4,268,417,163,2016/8/6|23:04:22.261
0,0,0,0,0,-2,285,417,168,2016/8/6|23:04:22.279
0,0,0,0,0,-1,297,312,173,2016/8/6|23:04:22.295
0,0,0,0,0,-1,302,312,177,2016/8/6|23:04:22.324
0,0,0,0,0,0,300,312,180,2016/8/6|23:04:22.331
0,0,0,0,0,0,287,104,178,2016/8/6|23:04:22.337
0,0,0,0,0,0,276,104,177,2016/8/6|23:04:22.357
0,0,0,0,0,0,276,312,180,2016/8/6|23:04:22.373
0,0,0,0,0,0,273,312,183,2016/8/6|23:04:22.381
0,0,0,0,0,0,269,312,186,2016/8/6|23:04:22.396
0,0,0,0,0,0,264,312,189,2016/8/6|23:04:22.409
0,0,0,0,0,0,260,312,193,2016/8/6|23:04:22.437
0,0,0,0,0,0,255,312,196,2016/8/6|23:04:22.444
0,0,0,0,0,0,247,209,197,2016/8/6|23:04:22.453
0,0,0,0,0,0,244,0,198,2016/8/6|23:04:22.487
0,0,0,0,0,1,235,0,194,2016/8/6|23:04:22.487
0,0,0,0,0,3,223,0,191,2016/8/6|23:04:22.508
0,0,0,0,0,2,214,104,189,2016/8/6|23:04:22.533
0,0,0,0,0,1,220,104,188,2016/8/6|23:04:22.540
0,0,0,0,0,0,238,209,189,2016/8/6|23:04:22.555
0,0,0,0,0,0,244,521,189,2016/8/6|23:04:22.575
0,0,0,0,0,0,257,521,197,2016/8/6|23:04:22.589
0,0,0,0,0,0,264,521,205,2016/8/6|23:04:22.606
0,0,0,0,0,0,260,312,209,2016/8/6|23:04:22.622
0,0,0,0,0,2,255,312,212,2016/8/6|23:04:22.640
0,0,0,0,0,3,246,209,213,2016/8/6|23:04:22.647
0,0,0,0,0,5,241,104,214,2016/8/6|23:04:22.662
0,0,0,0,0,6,232,104,213,2016/8/6|23:04:22.665
0,0,0,0,0,6,229,104,211,2016/8/6|23:04:22.684
0,0,0,0,0,6,229,104,210,2016/8/6|23:04:22.698
0,0,0,0,0,6,223,104,208,2016/8/6|23:04:22.715
0,0,0,0,0,6,223,312,212,2016/8/6|23:04:22.737
0,0,0,0,0,6,223,209,215,2016/8/6|23:04:22.745
0,0,0,0,0,6,218,209,216,2016/8/6|23:04:22.761
0,0,0,0,0,6,214,209,217,2016/8/6|23:04:22.770
0,0,0,0,0,6,205,104,215,2016/8/6|23:04:22.790
0,0,0,0,0,6,199,104,213,2016/8/6|23:04:22.801
0,0,0,0,0,6,199,209,214,2016/8/6|23:04:22.818
0,0,0,0,0,6,205,209,215,2016/8/6|23:04:22.838
0,0,0,0,0,6,214,209,216,2016/8/6|23:04:22.859
0,0,0,0,0,6,220,209,216,2016/8/6|23:04:22.862
0,0,0,0,0,6,229,312,219,2016/8/6|23:04:22.874
0,0,0,0,0,5,235,312,223,2016/8/6|23:04:22.893
0,0,0,0,0,6,244,417,228,2016/8/6|23:04:22.903
0,0,0,0,0,6,244,209,233,2016/8/6|23:04:22.919
0,0,0,0,0,6,230,209,234,2016/8/6|23:04:22.941
0,0,0,0,0,7,223,209,235,2016/8/6|23:04:22.959
0,0,0,0,0,7,223,312,238,2016/8/6|23:04:22.966
0,0,0,0,0,8,226,312,241,2016/8/6|23:04:22.996
0,0,0,0,0,8,217,0,237,2016/8/6|23:04:23.4
0,0,0,0,0,8,211,209,233,2016/8/6|23:04:23.26
0,0,0,0,0,8,215,209,233,2016/8/6|23:04:23.44
0,0,0,0,0,8,220,209,234,2016/8/6|23:04:23.53
0,0,0,0,0,7,224,209,234,2016/8/6|23:04:23.71
0,0,0,0,0,7,223,209,235,2016/8/6|23:04:23.79
0,0,0,0,0,7,223,312,238,2016/8/6|23:04:23.101
0,0,0,0,0,7,226,209,240,2016/8/6|23:04:23.122
0,0,0,0,0,7,226,209,241,2016/8/6|23:04:23.122
0,0,0,0,0,7,229,209,241,2016/8/6|23:04:23.146
0,0,0,0,0,7,242,417,246,2016/8/6|23:04:23.157
0,0,0,0,0,7,253,417,251,2016/8/6|23:04:23.160
0,0,0,0,0,7,248,104,249,2016/8/6|23:04:23.177
0,0,0,0,0,8,244,209,247,2016/8/6|23:04:23.202
0,0,0,0,0,8,244,209,248,2016/8/6|23:04:23.207
0,0,0,0,0,8,241,209,248,2016/8/6|23:04:23.225
0,0,0,0,0,8,241,312,251,2016/8/6|23:04:23.240
0,0,0,0,0,8,238,312,253,2016/8/6|23:04:23.267
0,0,0,0,0,8,229,209,254,2016/8/6|23:04:23.267
0,0,0,0,0,8,226,0,254,2016/8/6|23:04:23.281
0,0,0,0,0,8,217,0,249,2016/8/6|23:04:23.312
0,0,0,0,0,8,205,0,245,2016/8/6|23:04:23.313
0,0,0,0,0,7,201,209,245,2016/8/6|23:04:23.329
0,0,0,0,0,6,205,209,245,2016/8/6|23:04:23.339
0,0,0,0,0,6,236,730,256,2016/8/6|23:04:23.353
0,0,0,5,0,6,262,209,268,2016/8/6|23:04:23.376
0,0,0,5,0,6,262,209,268,2016/8/6|23:04:23.391
0,0,0,5,0,7,262,209,269,2016/8/6|23:04:23.397
0,0,0,5,0,8,253,0,264,2016/8/6|23:04:23.415
0,0,0,5,0,9,241,0,259,2016/8/6|23:04:23.446
0,0,0,5,0,8,232,104,257,2016/8/6|23:04:23.469
0,0,0,0,0,8,226,209,254,2016/8/6|23:04:23.469
0,0,0,0,0,7,226,209,254,2016/8/6|23:04:23.485
0,0,0,0,0,6,220,209,254,2016/8/6|23:04:23.508
0,0,0,0,0,6,207,104,251,2016/8/6|23:04:23.515
0,0,0,0,0,5,202,104,249,2016/8/6|23:04:23.534
0,0,0,0,0,4,220,521,255,2016/8/6|23:04:23.548
0,0,0,5,0,2,235,312,262,2016/8/6|23:04:23.572
0,0,0,5,0,1,239,312,264,2016/8/6|23:04:23.578
0,0,0,5,0,3,241,312,266,2016/8/6|23:04:23.596
0,0,0,5,0,4,241,312,268,2016/8/6|23:04:23.605
0,0,0,5,0,5,244,312,270,2016/8/6|23:04:23.626
0,0,0,5,0,6,239,104,268,2016/8/6|23:04:23.627
0,0,0,5,0,6,241,312,265,2016/8/6|23:04:23.647
0,0,0,5,0,6,254,312,267,2016/8/6|23:04:23.650
0,0,0,5,0,6,261,312,269,2016/8/6|23:04:23.675
0,0,0,5,0,6,261,209,269,2016/8/6|23:04:23.699
0,0,0,5,0,6,247,209,268,2016/8/6|23:04:23.709
0,0,0,5,0,6,233,417,272,2016/8/6|23:04:23.715
0,0,0,5,0,6,235,209,277,2016/8/6|23:04:23.734
0,0,0,5,0,6,235,209,276,2016/8/6|23:04:23.750
0,0,0,5,0,6,241,209,276,2016/8/6|23:04:23.759
0,0,0,5,0,6,254,312,277,2016/8/6|23:04:23.775
0,0,0,5,0,6,264,312,279,2016/8/6|23:04:23.791
0,0,0,5,0,6,269,209,279,2016/8/6|23:04:23.806
0,0,0,5,0,6,270,209,278,2016/8/6|23:04:23.821
0,0,0,5,0,6,270,209,278,2016/8/6|23:04:23.838
0,0,0,5,0,6,273,209,277,2016/8/6|23:04:23.848
0,0,0,5,0,6,282,312,279,2016/8/6|23:04:23.866
0,0,0,5,0,6,279,312,280,2016/8/6|23:04:23.887
0,0,0,5,0,6,266,209,279,2016/8/6|23:04:23.896
0,0,0,5,0,6,259,104,279,2016/8/6|23:04:23.912
0,0,0,5,0,5,250,104,276,2016/8/6|23:04:23.937
0,0,0,5,0,5,241,104,272,2016/8/6|23:04:23.954
0,0,0,5,0,4,250,521,279,2016/8/6|23:04:23.971
0,0,0,5,0,2,265,521,285,2016/8/6|23:04:23.987
0,0,0,5,0,1,265,104,282,2016/8/6|23:04:24.0
