ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.399
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.412
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.427
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.434
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.449
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.467
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.477
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.490
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.511
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.522
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.537
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.560
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.569
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.582
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.594
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.610
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.625
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.641
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.666
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.670
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.684
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.700
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.715
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.725
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.753
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.755
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.773
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.809
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.827
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.827
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.847
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.866
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.887
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.895
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.908
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.915
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.922
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.941
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.963
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.980
